100000 200000 
2 46783 1279
2 30219 29
2 29720 1187
2 24457 882
2 35473 624
2 16898 342
2 8640 1306
2 6846 862
2 45226 265
2 26189 963
2 12685 434
2 38500 346
2 17054 1084
2 42968 563
2 39419 915
2 24369 463
2 35288 102
2 5182 316
2 38564 216
2 26838 1339
2 23986 857
2 3585 895
2 28647 1333
2 29204 238
2 40115 21
2 45052 1305
2 39930 983
2 40385 126
2 20771 1426
2 13993 940
2 30537 68
2 45679 548
2 47184 1146
2 5902 1158
2 22429 966
2 42267 1370
2 2910 459
2 33831 848
2 3705 1445
2 19778 1433
2 6287 545
2 15859 354
2 26526 526
2 337 623
2 46460 137
2 47218 980
2 38051 1385
2 44025 218
2 19174 1364
2 42270 1406
2 33711 48
2 48135 96
2 11618 612
2 8343 315
2 37580 486
2 25529 690
2 41037 189
2 17708 1366
2 33955 547
2 47429 75
2 8400 1242
2 28885 883
2 12163 536
2 24513 743
2 37571 1188
2 19658 466
2 39139 746
2 23587 720
2 29481 615
2 14332 280
2 45473 632
2 36982 560
2 5683 853
2 45329 597
2 1273 1106
2 12788 431
2 18452 792
2 43298 1399
2 48457 827
2 34555 138
2 37293 1
2 38658 528
2 13177 316
2 41883 1274
2 15491 1442
2 47182 712
2 17741 1191
2 26159 1248
2 45405 171
2 32688 1135
2 24900 1137
2 44995 877
2 41612 1259
2 37594 153
2 38427 244
2 46726 1448
2 41224 888
2 816 528
2 7814 1004
2 15045 989
2 46336 423
2 22499 858
2 24489 534
2 45680 604
2 41388 677
2 44409 505
2 19017 1441
2 46159 1252
2 44587 208
2 25532 88
2 30714 157
2 46373 1339
2 15059 1262
2 614 1289
2 24386 79
2 13946 1463
2 6557 545
2 17571 47
2 47466 1231
2 8369 6
2 1046 996
2 9625 608
2 45495 573
2 21293 362
2 45418 1069
2 1933 872
2 48552 1382
2 5755 1417
2 5578 1124
2 47346 425
2 24400 687
2 33879 648
2 42488 358
2 45486 722
2 30383 464
2 20041 704
2 41236 511
2 34534 784
2 15925 726
2 11311 916
2 11149 991
2 432 320
2 48293 1373
2 48592 947
2 5536 171
2 13121 678
2 33643 962
2 3641 1008
2 48968 1022
2 1109 1377
2 38960 400
2 24201 287
2 33229 716
2 10588 1302
2 43660 879
2 32089 883
2 12420 403
2 7868 585
2 22670 235
2 5728 755
2 47979 337
2 44298 1183
2 23146 1138
2 45993 1301
2 8507 1011
2 38273 1380
2 39270 882
2 24754 1124
2 29830 949
2 40102 803
2 14453 459
2 47995 178
2 30037 1202
2 42815 1217
2 32391 950
2 43212 805
2 7000 1457
2 25377 1170
2 1003 78
2 31867 681
2 40801 534
2 46564 1473
2 34681 648
2 43027 488
2 43522 932
2 4883 251
2 11672 983
2 39450 79
2 45221 919
2 46586 897
2 45733 206
2 23491 146
2 18040 233
2 47749 1398
2 10996 1052
2 37450 934
2 35793 1437
2 21259 4
2 46427 186
2 21975 968
2 33416 210
2 40432 0
2 11706 1074
2 40734 496
2 28191 462
2 16252 1493
2 10818 1207
2 25307 457
2 14766 944
2 48217 166
2 11802 733
2 30002 474
2 45939 1393
2 18830 921
2 15524 956
2 26188 448
2 33152 917
2 35672 333
2 3242 947
2 22847 263
2 28197 65
2 48434 1489
2 42839 651
2 29000 755
2 40469 491
2 14441 107
2 38708 735
2 6576 232
2 31747 1254
2 27217 951
2 17567 837
2 16581 230
2 41963 452
2 44341 842
2 3544 1185
2 18925 1170
2 41702 218
2 46352 1256
2 42014 845
2 8852 1435
2 13579 921
2 37386 661
2 35556 302
2 572 419
2 22702 269
2 9042 196
2 15709 889
2 6122 363
2 30026 775
2 5248 1189
2 32647 455
2 32237 191
2 38105 794
2 12933 500
2 6928 1304
2 9202 346
2 2283 644
2 38397 661
2 24908 208
2 44703 834
2 20722 1198
2 35109 146
2 739 248
2 48306 1153
2 47207 758
2 21509 61
2 31087 103
2 12808 1467
2 27966 980
2 5700 699
2 44557 920
2 24077 682
2 15938 1080
2 1349 934
2 23895 1199
2 20510 634
2 46148 744
2 15644 232
2 41071 604
2 26458 622
2 41151 1499
2 2434 1074
2 28849 450
2 21928 81
2 7464 1399
2 46289 392
2 40358 1477
2 36093 965
2 6519 1234
2 8952 1088
2 9886 365
2 1525 714
2 15541 750
2 43685 774
2 6585 106
2 35364 565
2 20850 797
2 47107 1058
2 30152 968
2 15796 1339
2 40441 1061
2 12254 861
2 14693 1080
2 10892 617
2 22341 948
2 41073 642
2 39708 1047
2 48586 1018
2 38504 1135
2 29767 655
2 27331 1017
2 39849 464
2 12621 982
2 48483 653
2 7098 189
2 16112 363
2 36237 306
2 3969 1292
2 14480 404
2 6454 1225
2 11011 1170
2 24529 197
2 39266 1091
2 42597 1002
2 48547 670
2 23959 1410
2 39230 42
2 13347 597
2 33378 10
2 28523 1024
2 48546 1317
2 39411 550
2 25014 1415
2 24999 536
2 19889 706
2 43086 1214
2 1533 589
2 12810 129
2 30175 532
2 13260 1358
2 26446 60
2 33087 229
2 20269 278
2 2122 508
2 37685 578
2 26530 760
2 47521 832
2 21723 486
2 22682 441
2 40866 1413
2 31753 680
2 2619 978
2 25801 896
2 28574 582
2 21382 797
2 42532 403
2 16204 974
2 23403 705
2 2546 24
2 38532 307
2 21585 1193
2 1938 268
2 45596 842
2 22426 1382
2 28243 1394
2 4143 216
2 12776 276
2 37787 590
2 16039 1430
2 27104 9
2 36073 1257
2 43869 539
2 2769 558
2 33793 530
2 12950 729
2 25791 1350
2 46322 473
2 20735 815
2 23591 227
2 38777 932
2 45463 429
2 29392 1461
2 29342 376
2 13905 712
2 20822 778
2 7851 1413
2 24043 431
2 48503 1039
2 4030 1166
2 38079 4
2 11068 524
2 3986 65
2 48424 1035
2 30550 798
2 10222 849
2 20878 838
2 48749 1246
2 28983 748
2 26430 713
2 43172 556
2 45820 1239
2 48918 503
2 7361 1464
2 34716 1299
2 44182 1013
2 42048 1141
2 29669 1123
2 11884 1197
2 44367 1450
2 25474 1049
2 45068 301
2 42507 454
2 27077 1233
2 21546 999
2 20719 249
2 23454 474
2 48596 977
2 21969 116
2 34150 68
2 17979 1351
2 48129 459
2 33625 658
2 38901 617
2 21212 1293
2 24020 575
2 24485 230
2 6907 1146
2 40337 1174
2 13514 448
2 46106 1226
2 25025 1347
2 21855 1248
2 38038 316
2 45002 1321
2 4705 64
2 28272 908
2 35492 1213
2 45019 315
2 25144 905
2 19218 1446
2 12048 973
2 4581 183
2 28718 1079
2 17216 29
2 41899 31
2 22389 1361
2 6341 540
2 34723 855
2 46347 1033
2 21827 1301
2 7270 1082
2 11339 244
2 44914 644
2 29877 760
2 46258 88
2 42442 1310
2 38140 1498
2 6964 990
2 41340 1389
2 1617 557
2 17395 1018
2 16032 882
2 48317 692
2 32886 465
2 45147 549
2 25154 1464
2 26581 319
2 16278 79
2 21798 763
2 38234 1211
2 43726 345
2 41366 1127
2 29835 640
2 37243 1047
2 10009 871
2 44408 1408
2 24721 71
2 7454 466
2 47533 218
2 46130 1156
2 44120 1367
2 3068 714
2 27803 1344
2 22281 232
2 28252 1476
2 37008 965
2 38223 69
2 44536 421
2 16074 678
2 26690 563
2 32555 1116
2 38020 887
2 48961 1363
2 41717 95
2 7858 260
2 46987 140
2 34413 1081
2 12422 1282
2 38757 183
2 13716 1161
2 10029 477
2 27471 7
2 4249 1094
2 15217 155
2 29778 431
2 39951 1299
2 28745 435
2 17101 969
2 35854 503
2 41199 277
2 48659 1190
2 42128 372
2 19957 860
2 1606 900
2 43456 520
2 10136 827
2 3078 595
2 43246 1441
2 7227 1375
2 1308 372
2 22360 1398
2 28406 140
2 30881 1067
2 15366 1233
2 46880 649
2 6020 144
2 37295 761
2 14965 326
2 34257 256
2 47576 850
2 45195 1467
2 14530 318
2 8955 985
2 15334 557
2 25856 200
2 16501 161
2 41177 769
2 29331 1481
2 26291 422
2 29447 207
2 3360 1084
2 24725 1371
2 32112 523
2 14523 43
2 26371 1146
2 14915 1430
2 36862 226
2 28646 77
2 33751 203
2 35868 483
2 20255 31
2 9531 290
2 35469 72
2 24902 1425
2 39793 1158
2 24371 806
2 14997 1290
2 44879 704
2 31097 902
2 44846 1435
2 14536 1442
2 34450 1462
2 37064 780
2 4945 1489
2 6313 945
2 7198 1200
2 17584 250
2 654 732
2 45156 872
2 19150 265
2 8115 3
2 41511 36
2 34706 1378
2 41527 388
2 2960 417
2 9309 1153
2 16803 1355
2 32516 1107
2 39808 951
2 39576 953
2 30914 1469
2 2633 1173
2 31702 1440
2 15788 1273
2 4198 65
2 26042 1218
2 43914 1198
2 35550 1012
2 12076 235
2 37538 682
2 38805 603
2 36616 626
2 30893 326
2 22514 634
2 22569 309
2 46816 1198
2 31183 1263
2 41120 259
2 44799 1218
2 9313 379
2 23737 1002
2 49253 1391
2 32446 903
2 40240 1253
2 13562 356
2 26406 616
2 17112 1196
2 45960 163
2 36425 668
2 48297 163
2 47780 318
2 26912 877
2 48859 873
2 24374 226
2 45628 324
2 8501 1198
2 44117 380
2 26654 1290
2 24920 1315
2 22316 1180
2 10329 1081
2 46172 1317
2 40472 788
2 802 1160
2 45264 1446
2 8756 634
2 33839 908
2 41186 777
2 34603 197
2 42475 1495
2 11443 900
2 48760 1493
2 20052 206
2 44062 768
2 24736 1284
2 12081 130
2 26634 798
2 45641 1201
2 25281 409
2 17575 1248
2 4938 1373
2 31271 1386
2 35535 431
2 49035 631
2 39365 965
2 42601 168
2 19386 883
2 42734 1290
2 47861 1490
2 18400 1436
2 1479 232
2 26984 579
2 19972 892
2 37333 1047
2 6645 13
2 12809 414
2 16594 509
2 44422 1265
2 19475 1343
2 47697 350
2 26741 924
2 39184 1010
2 48393 205
2 37847 1093
2 36138 459
2 48285 1028
2 19492 172
2 17730 381
2 39078 882
2 34843 480
2 8157 768
2 46805 100
2 47381 752
2 47278 978
2 35309 917
2 19035 1220
2 8914 744
2 2750 901
2 30694 20
2 25900 24
2 6275 870
2 15833 263
2 38729 214
2 11006 814
2 42753 1475
2 23391 1390
2 36985 192
2 5687 870
2 11152 532
2 44721 1217
2 14379 1199
2 11828 430
2 10449 848
2 24713 815
2 6757 1389
2 40781 1362
2 37860 545
2 45781 1406
2 3083 1284
2 27001 810
2 15911 107
2 34550 359
2 41421 542
2 1162 1480
2 10550 828
2 48002 820
2 13136 8
2 44449 805
2 20439 310
2 49447 766
2 32863 456
2 29040 795
2 36494 1355
2 28940 1269
2 21749 22
2 5712 1390
2 23509 321
2 29150 987
2 36233 1399
2 11239 1308
2 21982 474
2 38985 1366
2 21032 1499
2 48870 941
2 10089 847
2 18273 806
2 16454 669
2 48665 251
2 2557 478
2 48400 334
2 577 1425
2 10614 216
2 10964 1169
2 44291 957
2 44470 534
2 17275 434
2 5754 841
2 39586 77
2 1373 928
2 18846 1177
2 36320 450
2 47546 922
2 25891 36
2 42895 337
2 46447 709
2 37062 1120
2 14443 661
2 13604 376
2 30743 1107
2 22885 839
2 26385 228
2 31626 219
2 25703 1289
2 25462 1165
2 30684 585
2 10672 31
2 40195 718
2 35962 494
2 42789 1227
2 33481 1481
2 18101 901
2 17653 99
2 39967 1412
2 14414 6
2 46833 1182
2 35346 413
2 49278 1475
2 40583 29
2 36956 1209
2 34359 578
2 24226 265
2 3572 50
2 11612 424
2 15234 1082
2 46190 423
2 2701 23
2 29219 656
2 46417 171
2 35111 409
2 27745 724
2 34592 1163
2 12509 845
2 49204 795
2 19735 396
2 1419 1242
2 35936 1416
2 3089 1301
2 5845 1346
2 29231 1362
2 42889 514
2 3606 143
2 47562 14
2 25167 491
2 31023 887
2 23306 1376
2 1786 1368
2 36913 527
2 3747 246
2 20654 1386
2 17958 1076
2 47119 632
2 49322 1487
2 7705 1259
2 4219 1289
2 28610 13
2 31705 1134
2 8492 57
2 44759 1488
2 48447 613
2 32294 199
99996 99992 330
2 23408 1329
2 41067 1484
2 14050 1107
2 42876 1338
2 32962 974
2 48640 1432
2 9110 765
2 49152 1164
2 39049 510
2 42111 1194
2 46954 523
2 19915 783
2 8333 1123
2 47789 1023
2 10058 1107
2 20730 385
2 34781 301
2 33797 946
2 47070 458
2 6849 399
2 5124 55
2 41083 1224
2 18815 185
2 12777 347
2 45588 1268
2 43297 207
2 15811 16
2 5281 35
2 8079 805
2 31698 49
2 513 991
2 10761 254
2 3222 560
2 5717 1100
2 27528 1499
2 32210 650
2 44940 715
2 44670 583
2 2433 1230
2 7738 1448
2 17849 1424
2 36378 1340
2 32791 55
2 41503 1353
2 27657 638
2 46821 809
2 44674 247
2 10225 246
2 8240 370
2 28088 551
2 22551 447
2 37804 187
2 22974 621
2 7831 1403
2 40391 452
2 23095 629
2 26588 329
2 302 1043
2 34834 1293
2 23626 869
2 20216 699
2 25577 509
2 27374 195
2 47241 896
2 44570 977
2 32794 503
2 5152 773
2 35393 957
2 19087 270
2 18481 1050
2 40826 999
2 9469 47
2 44730 881
2 40187 970
2 44821 494
2 5209 757
2 33972 601
2 33443 1386
2 46879 895
2 4051 1093
2 47823 1110
2 37279 799
2 21592 297
2 35486 559
2 37935 1311
2 23671 502
2 11108 886
2 43317 287
2 33464 15
2 16896 632
2 37100 1007
2 45701 688
2 44232 954
2 41202 947
2 48802 1039
2 46005 101
2 35808 218
2 40120 1150
2 43798 828
2 11229 635
2 16368 917
2 48091 374
2 18741 819
2 4665 385
2 28058 898
2 3075 400
2 4205 503
2 39402 948
2 1526 1355
2 28985 1104
2 46815 122
2 35034 1108
2 11992 696
2 47727 341
2 19826 1260
2 43424 822
2 26286 1110
2 31846 37
2 10212 1043
2 28758 416
2 33502 101
2 21967 1260
2 22093 811
2 7470 1394
2 48762 1028
2 48954 1486
2 17712 312
2 35226 1281
2 9641 1370
2 17866 753
2 33120 713
2 18030 173
2 3214 721
2 38016 788
2 35335 442
2 6109 1037
2 13510 370
2 32891 853
2 45063 1321
2 22274 1202
2 26731 531
2 9336 51
2 44 748
2 5341 536
2 40516 851
2 22030 441
2 42454 1419
2 38635 632
2 46527 38
2 35164 1103
2 10931 783
2 45099 400
2 37478 1034
2 41668 53
2 806 703
2 46754 477
2 20643 935
2 41036 1306
2 48259 1331
2 38417 1089
2 40458 631
2 13093 679
2 36748 1436
2 5799 728
2 2235 1389
2 37385 1205
2 7629 258
2 24890 664
2 30326 50
2 40574 554
2 30008 1381
2 32380 323
2 29379 503
2 41841 253
2 45215 39
2 27749 553
2 47069 995
2 1429 675
2 47982 1037
2 7699 231
2 24640 844
2 13129 517
2 31122 595
2 35817 507
2 33388 527
2 34384 692
2 5493 1092
2 15415 489
2 24954 756
2 49726 147
2 138 1385
2 49572 259
2 17315 883
2 42678 604
2 29797 837
2 6663 653
2 7492 37
2 28228 262
2 649 152
2 6530 794
2 19525 1166
2 32459 589
2 2197 122
2 48467 1386
2 13589 448
2 19736 186
2 26092 1160
2 26986 1020
2 49540 106
2 22966 168
2 5936 375
2 45927 277
2 21345 195
2 1424 381
2 21198 556
2 37706 1401
2 41846 267
2 34722 1226
2 44035 357
2 44743 59
2 47224 11
2 38091 682
2 32657 455
2 22533 547
2 10074 1372
2 44480 490
2 20857 1463
2 28014 947
2 24224 507
2 7776 862
2 43955 976
2 22564 851
2 5104 681
2 22579 527
2 38245 408
2 20599 473
2 8947 1105
2 33901 66
2 47895 838
2 25216 1142
2 1660 189
2 49846 393
2 33817 235
2 39063 7
2 22902 1459
2 19506 143
2 23796 898
2 32030 319
2 6787 828
2 5836 5
2 27825 939
2 13527 432
2 34739 784
2 47337 1389
2 38967 285
2 13555 1041
2 7427 1025
2 33874 393
2 7354 1099
2 22933 1306
2 15336 161
2 41481 970
2 21674 1155
2 24466 1079
2 37382 659
2 25696 947
2 23772 1030
1 99993 25000902
2 23620 502
2 6940 1354
2 30642 1412
2 41844 154
2 27679 1052
2 16081 537
2 38508 995
2 10045 703
2 37659 333
2 21064 1434
2 43130 769
2 32807 970
2 22649 1325
2 21308 141
2 43571 1224
2 6317 1454
2 45440 930
2 5527 584
2 42162 1062
2 11410 357
2 5771 18
2 46149 92
2 38956 1161
2 30346 78
2 7459 352
2 34007 591
2 19100 52
2 25771 1137
2 36306 154
2 1066 110
2 23983 223
2 14854 189
2 1085 537
2 48421 1165
2 37153 1408
2 48431 1068
2 12238 188
2 22410 739
2 20797 66
2 46292 282
2 934 1362
2 3890 143
2 23516 1040
2 328 19
2 10005 427
2 49276 631
2 32147 607
2 2641 1275
2 6430 916
2 38626 518
2 46167 538
2 25083 568
2 20965 1246
2 15144 694
2 15427 71
2 37311 621
2 43818 1120
2 22671 917
2 25943 347
2 35371 353
2 25722 1236
2 11751 1386
2 13576 1252
2 33673 1003
2 43861 762
2 39639 1313
2 9660 632
2 46230 167
2 5068 857
2 29248 874
2 1027 436
2 24836 192
2 20903 441
2 39941 1389
2 47630 405
2 42656 1435
2 45935 233
2 39950 1126
2 10779 910
2 28665 335
2 49248 343
2 43316 714
2 15101 546
2 29122 407
2 8631 683
2 42297 1304
2 33641 1077
2 2176 1242
2 32218 974
2 47784 1252
2 31471 634
2 26012 228
2 29127 1493
2 45280 717
2 38376 546
2 2378 672
2 17067 1439
2 1156 1414
2 18938 961
2 45363 1475
2 34233 394
2 41344 476
2 1522 1010
2 36887 807
2 48158 131
2 45431 483
2 5268 29
2 33964 83
2 42492 1483
2 8324 517
2 9103 1445
2 14505 1287
2 34172 1042
2 15701 537
2 7571 1063
2 29003 398
2 1136 603
2 21170 81
2 48951 651
2 38922 1233
2 6276 1109
2 48565 180
2 8032 316
2 38210 392
2 42379 49
2 34299 950
2 14595 943
2 4013 1443
2 3518 716
2 6358 1107
2 19574 814
2 21179 232
2 19315 670
2 19106 56
2 21911 439
2 40424 1095
2 45770 1251
2 8485 1352
2 5331 1064
2 33340 1028
2 46619 981
2 40404 1058
2 24975 245
2 5296 469
2 31167 1391
2 47420 1219
2 2599 1234
2 21341 1042
2 32773 101
2 30134 1006
2 18038 263
2 41776 135
2 27720 169
2 3311 411
2 38019 1188
2 23552 629
2 7101 171
2 48274 628
2 3055 36
2 33191 1058
2 17681 157
2 295 1416
2 16246 510
2 11994 1182
2 20966 1120
2 19973 1461
2 28916 425
2 47370 186
2 49402 103
2 27633 554
2 42725 1362
2 40274 483
2 47378 351
2 17023 1128
2 29917 99
2 31009 434
2 37745 1396
2 1682 404
2 38341 1285
2 44847 1098
2 22408 1131
2 39544 481
2 12663 1112
2 25294 206
2 1442 27
2 15712 422
2 10181 573
2 49267 294
2 26375 831
2 33410 887
2 44538 1414
2 44283 589
2 36818 494
2 26312 1367
2 35191 974
2 3887 1472
2 29838 27
2 13306 1184
2 14920 873
2 45977 152
2 36703 338
2 22515 55
2 2016 161
2 30885 245
2 44934 1375
2 42444 831
2 9155 844
2 6128 1290
2 13047 1285
2 36516 1406
2 44488 1445
2 31805 605
2 15412 1019
2 3807 375
2 15290 851
2 44658 1462
2 3741 515
2 39330 580
2 32912 230
2 11340 1154
2 22725 21
2 30757 266
2 32851 478
2 12707 1305
2 13309 669
2 46910 441
2 12412 33
2 34116 1393
2 16360 30
2 37109 1137
2 43530 770
2 28009 465
2 12622 188
2 163 883
2 3380 1084
2 39541 982
2 44152 1314
2 25367 643
2 20431 489
2 8741 155
2 30029 648
2 35399 165
2 9048 1108
2 18951 579
2 45905 1057
2 36344 1209
2 21793 880
2 34585 515
2 7709 285
2 49033 126
2 33145 823
2 7651 708
50103 50105 1
2 8280 1254
2 24438 638
2 7428 38
2 9450 567
2 15899 780
2 44936 189
2 43670 830
2 864 158
2 49684 190
2 678 196
2 34730 423
2 22252 1372
2 46235 1248
2 19169 943
2 48109 970
2 2544 1386
2 44904 1023
2 32840 1493
2 28106 1347
2 46255 1227
2 26945 634
2 17625 144
2 21532 1424
2 16568 1351
2 21432 890
2 13767 267
50021 50023 1
2 5667 651
2 32601 1042
2 3071 233
2 33514 287
2 15498 1063
2 22610 1163
2 36227 1271
2 15860 435
2 15463 1132
2 42975 766
2 20401 1407
2 6061 1122
2 36953 763
2 47638 705
2 4690 316
2 5303 677
2 28697 1440
2 35689 1253
2 21200 438
2 31519 282
2 11690 831
2 46524 1129
2 14314 708
2 5985 341
2 43404 1456
2 21218 1102
2 36654 1124
2 20329 1007
2 36592 1385
2 34498 434
2 26334 1108
2 22836 933
2 38614 379
2 42878 114
2 42635 354
2 1943 1241
2 28076 1023
2 12867 1265
2 45109 406
2 12955 201
2 3600 421
2 46313 820
2 29817 1283
2 47504 173
2 49663 337
2 22961 444
2 799 383
2 30632 810
50113 50114 0
2 19866 312
2 19448 1444
2 34913 1328
2 16871 1196
2 15956 1051
2 42838 499
2 8948 1423
2 11228 1438
2 19978 88
2 27462 1070
2 30145 714
2 15455 1220
2 46670 1472
2 16223 91
2 25241 295
2 13257 1371
2 1652 1084
2 14658 1116
2 4456 589
2 46252 773
2 34525 1154
2 19731 161
2 13498 1130
2 7761 1259
2 25003 881
2 35015 436
2 9934 96
2 45006 1466
2 41042 154
2 21811 1391
2 27058 848
2 1967 584
2 1379 1387
2 40245 334
2 5271 758
2 13831 995
2 34056 352
2 37287 951
2 17966 1419
2 16470 1107
2 18386 1061
2 27023 737
2 3910 859
2 49858 1221
2 28904 1178
2 36581 1002
2 29041 293
2 45561 981
2 39744 944
2 48205 198
2 7954 1407
2 32799 1386
50146 2 49842
2 43507 624
2 44284 889
2 23452 1493
2 20532 35
2 39635 662
2 6144 313
2 5505 1187
2 42440 190
2 46384 150
2 47986 696
2 10317 1078
2 35772 1350
2 47206 720
2 41859 397
2 43106 247
2 13986 1300
2 2672 443
2 8143 1271
2 11180 1390
2 27812 296
2 30330 250
2 48422 1276
2 14340 1332
2 43064 1473
2 23700 923
2 11059 1025
2 43059 583
2 20227 1140
2 31393 1014
2 18990 298
2 44516 556
2 39151 14
2 152 1186
2 15560 465
2 23695 278
2 5699 489
2 40116 857
2 36457 1381
2 49080 1279
2 5057 397
2 23508 1048
2 17194 1453
2 17795 428
2 12664 1417
2 48838 243
2 15444 1057
2 26259 797
2 20418 11
2 30416 672
2 44566 293
2 41487 813
2 19786 1026
2 37736 445
2 7243 1265
2 37185 77
2 33433 1172
2 17621 386
2 45050 684
2 32849 435
2 46931 1426
2 13435 801
2 47200 710
2 28394 845
2 47505 1067
2 30766 347
2 29082 233
2 14994 1088
2 25998 1425
2 37881 562
2 1502 1417
2 46448 126
2 35345 1180
2 43979 579
2 11283 401
2 25360 593
2 36452 1433
2 42490 356
2 39845 1458
2 42649 24
2 22230 1438
2 26357 563
2 1839 1388
2 11258 1421
2 32575 509
2 23736 378
2 25898 229
2 2525 698
2 12244 1180
2 26543 443
50175 50177 1
2 49497 483
2 44192 531
2 1365 990
2 45597 959
2 39663 1116
2 27850 749
2 48015 510
2 1520 436
2 42076 1389
2 27517 815
2 14980 1287
2 1001 949
2 45967 1027
2 32411 1362
2 24444 1212
2 24202 991
2 36400 433
2 40175 164
2 13516 333
2 28249 798
2 10196 136
2 29825 678
50197 50198 0
2 29800 302
2 1862 861
2 15721 242
2 8173 221
2 20612 401
2 25309 1046
2 4335 1308
2 6343 696
2 38670 711
2 27710 872
2 10794 1286
2 15606 503
2 43493 725
2 6255 143
2 43492 45
2 22566 1299
2 49909 897
2 19024 304
2 7671 302
2 49746 1297
2 14109 545
2 15 102
2 3289 106
2 29496 1065
2 38268 783
2 37224 769
2 30960 79
2 31697 1364
2 20342 697
2 44788 1091
2 44996 938
2 45786 851
2 23209 1300
2 21044 1332
99996 99992 469
2 16997 1426
50165 50166 0
2 29947 524
2 46599 1473
2 41945 265
2 30988 1288
2 2812 519
2 48763 1421
2 45885 1340
2 48207 1126
2 4384 334
2 32867 63
2 17975 647
2 23295 1075
2 7973 812
2 4218 160
2 4102 1128
2 9850 441
2 30365 1308
2 36281 1046
2 39111 1378
2 23206 1474
2 40930 1486
2 17777 841
2 30424 1149
2 13448 688
2 28707 123
2 18716 1375
2 36216 618
2 10757 897
2 38868 594
2 44019 905
2 6394 644
2 49921 7
2 48348 990
2 15351 936
2 30167 344
2 45618 503
2 33175 679
2 6508 202
2 41943 999
2 47831 728
50285 50287 1
2 6673 788
2 2162 1479
2 2396 1351
2 48811 567
2 4305 167
2 10684 854
2 23531 889
2 16830 751
2 9152 1111
2 7781 999
2 43727 228
2 23857 817
2 34617 235
2 14982 776
2 2248 838
2 26448 448
2 45671 17
2 40130 56
2 45137 1109
2 4571 1268
2 37500 11
2 33224 333
50201 50203 1
2 11623 116
2 47849 277
2 44308 157
2 35441 969
2 24749 1121
2 25513 688
2 40357 750
2 47841 1367
2 18683 481
2 49300 470
2 45289 587
2 34902 616
2 9679 1344
2 20620 875
2 46247 1266
2 45872 662
2 38686 420
2 44345 1264
2 42412 1121
2 49833 388
2 17030 838
2 34602 1230
2 40582 121
2 25465 950
2 19440 705
2 29398 1253
2 41184 525
2 39099 1092
2 3976 808
2 37814 478
2 31761 667
2 45059 778
2 33299 1017
2 12289 1184
2 23467 1120
2 47393 659
2 14471 1485
2 22091 875
2 37627 399
2 26435 896
2 29381 1028
2 49716 1229
2 18995 214
2 10955 1459
2 44893 822
2 36039 1020
2 21284 762
2 31830 1003
2 40729 622
2 23862 408
2 41001 1396
2 6648 1160
2 18542 143
2 12219 752
2 22045 1338
2 45077 772
2 28403 282
2 3040 133
2 35125 1027
2 42630 22
2 46070 310
2 38207 366
2 24570 1252
2 42886 1020
2 10748 646
2 16016 1188
2 47908 1198
2 35818 442
2 69 1453
2 18015 122
2 45235 171
2 18320 1324
2 11197 751
2 22164 599
2 30256 911
2 8991 1232
2 9761 307
2 21814 1425
2 7246 528
2 7219 981
2 46412 357
2 45107 371
2 1102 314
2 43742 69
2 14864 897
2 30195 512
2 27933 508
2 33412 557
2 2081 1159
2 23917 937
2 3977 1067
2 20604 715
2 36323 1070
2 43690 1456
2 19170 117
2 40893 312
2 23820 646
2 42869 749
2 4663 928
2 7894 715
2 45064 447
2 30935 1113
2 29953 392
2 42719 738
2 3239 566
2 2008 1480
2 44725 1402
2 27213 1418
2 21203 1054
2 21696 832
2 46683 273
50022 2 49966
2 30652 63
2 31678 511
50047 50048 0
2 39831 973
2 1604 508
2 49232 390
2 38401 337
2 40936 1050
2 25940 1196
2 45488 641
2 38568 1499
2 22918 98
2 21583 1333
2 43387 881
2 42204 999
2 35881 717
2 2202 1103
2 23264 950
2 32767 1220
2 16027 1184
2 14006 78
2 37834 1201
2 46998 263
2 22187 1475
2 23316 1427
2 25905 1201
2 33649 420
2 39683 202
2 43180 1193
2 42731 235
2 44325 364
2 13383 752
2 19434 1187
2 34747 160
2 40138 1198
2 15486 540
2 24300 1320
2 36301 766
2 20507 537
2 33520 857
2 4803 713
2 7745 39
2 40670 242
2 2219 446
2 14796 1346
2 30880 286
2 33531 866
2 47816 1274
2 26248 827
2 22894 874
2 26160 1277
2 29928 142
2 7864 1495
2 27735 1451
2 9478 1230
2 39858 1048
2 30379 390
2 48124 1246
2 37363 1396
2 47714 1408
2 16876 494
2 41212 424
2 43506 990
2 43829 45
2 4619 1455
2 34977 331
2 27117 834
2 37066 513
2 25087 409
2 36089 929
2 222 992
2 1369 947
2 45098 235
2 17350 88
2 2193 1187
2 11367 429
2 32668 1361
2 41710 1224
2 12510 306
2 16808 1043
2 32619 873
2 17763 1438
2 13479 105
2 3962 1494
2 3571 311
2 47623 274
2 48485 383
2 17750 902
2 28119 999
2 4620 182
2 34660 512
2 34267 455
2 28923 983
2 22898 1491
2 1808 526
1 99995 25000040
2 5805 875
2 46367 1252
2 22042 780
2 46869 137
2 22335 1438
2 45355 787
2 15502 1263
2 1836 1331
2 13493 668
2 7399 753
2 47202 1400
2 49371 1028
2 21427 1244
2 5689 1052
2 1963 602
2 29719 272
2 3327 598
2 11509 264
50445 50446 0
2 37778 971
2 36350 340
2 3452 511
2 35423 201
2 34812 355
2 8863 1256
